fingerprint,minutia,score_change
U294X6I_1_1,v0,0.260702805
U294X6I_1_1,v1,0.270682806
U294X6I_1_1,v2,0.270087518
U294X6I_1_1,v3,-0.288865791
U294X6I_1_1,v4,0.05245396
U294X6I_1_1,v5,-0.583311566
U294X6I_1_1,v6,0.666404325
U294X6I_1_1,v7,-0.580027241
U294X6I_1_1,v8,0.668622043
U294X6I_1_1,v9,-0.192209976
U294X6I_1_1,v10,0.018729824
U294X6I_1_1,v11,0.15232469
U294X6I_1_1,v12,-0.361012691
U294X6I_1_1,v13,-0.516559521
U294X6I_1_1,v14,-0.153526831
U294X6I_1_1,v15,-0.438474339
U294X6I_1_1,v16,-0.213397142
U294X6I_1_1,v17,-0.006551278
U294X6I_1_1,v18,-0.380494137
U294X6I_1_1,v19,-0.137491854
U294X6I_1_1,v20,-0.295921994
G051X6I_1_1,v0,-0.117280843
G051X6I_1_1,v1,-0.188289264
G051X6I_1_1,v2,-0.217759689
G051X6I_1_1,v3,-0.06861489
G051X6I_1_1,v4,0.003190411
G051X6I_1_1,v5,0.084624494
G051X6I_1_1,v6,-0.043603391
G051X6I_1_1,v7,0.082513425
G051X6I_1_1,v8,-0.10957484
G051X6I_1_1,v9,-0.004338149
G051X6I_1_1,v10,0.042275763
G051X6I_1_1,v11,0.051886055
G051X6I_1_1,v12,-0.005196492
G051X6I_1_1,v13,-0.237839671
G051X6I_1_1,v14,0.035837826
G051X6I_1_1,v15,-0.218893064
G051X6I_1_1,v16,0.057025736
G051X6I_1_1,v17,0.021956841
G051X6I_1_1,v18,-0.156400576
G051X6I_1_1,v19,-0.072398281
G051X6I_1_1,v20,-0.151497104
G051X6I_1_1,v21,-0.229205716
G051X6I_1_1,v22,0.12262313
G051X6I_1_1,v23,0.1297728
G051X6I_1_1,v24,-0.148241346
G051X6I_1_1,v25,-0.01835608
G051X6I_1_1,v26,-0.179832222
G051X6I_1_1,v27,0.113099981
G051X6I_1_1,v28,-0.227429554
G051X6I_1_1,v29,-0.001823503
G051X6I_1_1,v30,-0.078425721
G051X6I_1_1,v31,0.023215395
G051X6I_1_1,v32,-0.071897217
G051X6I_1_1,v33,-0.039106913
G051X6I_1_1,v34,-0.078654156
G051X6I_1_1,v35,-0.030410945
G051X6I_1_1,v36,0.05955082
